lnge_num,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
200,1,2,2,4,1,3,2,4,10,7,1,2,2,5,1,1,3,5,5,5,1,2,1,2,1,2,2,2,3,4,4,4,4,1,2,1,3,1,2,2,4,1,3,3,3,8,6,4,3,5,3,2,3,3,2,1,2,3,3,2,3,2,4,1,2,7,3,3,4,1,57803,8,1,10,10,10,10,10,9,10,10,8,1,1,1,3,3,3,2,1,3,3,2,4,7,1,5,1,1,1,1,5,2,5,5,1,5,3,1,1,1,3,1,1,1,1,1,3,4,4,1949,69,1,1,1,2,2,3,2,3,2,2,1,2,1,4,4,2,43,6,41,5
200,1,1,1,3,1,4,2,1,10,9,2,2,2,5,3,3,4,5,2,1,1,2,1,2,1,3,3,2,2,2,4,3,3,1,3,1,4,2,3,2,2,2,2,3,3,6,5,5,5,2,3,3,3,4,3,3,3,3,3,4,4,3,4,3,2,7,2,3,4,2,57809,5,1,8,8,3,5,10,7,7,9,5,1,1,1,3,3,4,1,1,4,4,0,8,7,2,1,1,3,2,1,5,2,5,5,8,1,2,1,5,1,3,2,2,1,1,1,2,3,4,1950,68,1,1,1,2,2,3,2,3,2,2,1,2,1,1,1,2,83,7,52,4
200,1,1,1,2,1,3,2,4,10,8,2,2,2,5,1,2,1,5,2,2,1,2,1,2,1,3,2,2,1,4,4,4,4,2,4,1,2,2,3,1,1,1,2,2,3,9,9,7,5,5,1,3,3,2,2,3,4,0,0,2,2,2,2,1,0,6,4,3,4,1,57803,1,7,10,8,1,5,10,3,8,10,10,2,2,1,4,3,3,2,0,0,4,2,6,4,1,5,1,1,1,1,10,1,8,10,10,1,10,1,6,1,4,2,2,1,1,1,1,2,3,1991,27,1,1,1,0,2,3,2,6,3,0,0,0,0,8,2,2,54,0,52,1
200,1,1,2,2,1,4,2,2,8,8,1,1,2,5,2,5,1,5,4,1,1,2,1,1,1,2,2,2,3,4,4,3,3,1,3,1,4,2,3,1,1,1,1,1,2,4,6,4,4,3,4,2,3,2,1,2,2,3,3,2,3,3,2,1,3,7,4,3,4,1,57801,8,1,10,8,2,9,10,6,3,9,8,2,2,2,4,2,3,2,1,3,4,0,8,7,3,1,2,1,2,1,10,4,9,10,10,2,3,1,1,1,4,2,2,2,2,1,2,4,4,1960,58,1,1,1,3,2,3,2,8,3,2,1,2,1,1,1,2,31,8,21,9
200,2,1,2,3,1,2,2,2,8,8,2,1,2,4,2,4,1,5,5,3,2,2,3,4,4,4,4,4,4,4,4,3,4,1,3,1,4,2,3,3,3,1,1,2,3,5,4,4,5,5,3,2,3,3,3,2,3,2,2,3,3,3,3,3,2,7,4,4,4,1,57811,3,1,10,7,1,9,10,7,2,9,9,1,1,2,3,3,4,3,1,4,4,0,4,5,2,6,1,1,1,1,10,5,8,8,5,3,5,1,1,2,2,2,1,2,2,2,2,3,3,1964,54,1,3,1,1,1,3,2,0,0,2,1,2,1,8,0,2,61,6,0,1
200,1,1,3,3,3,3,2,2,9,8,1,1,2,5,2,5,1,5,5,5,1,2,1,1,2,1,1,1,2,4,4,4,4,3,1,4,1,2,1,2,4,1,2,1,2,3,6,8,8,4,3,3,3,2,2,3,3,4,4,4,3,3,2,3,3,2,3,4,4,2,57812,2,2,9,5,1,8,3,3,2,10,4,2,2,1,3,3,3,2,1,4,4,0,4,5,1,4,7,1,5,1,10,5,8,8,8,5,3,1,5,1,4,2,2,2,1,1,2,3,4,1952,66,1,6,1,2,3,6,3,0,0,1,1,1,1,8,0,1,23,10,0,2
200,1,1,1,2,1,2,1,3,10,5,1,1,2,5,3,3,2,5,5,3,1,1,1,1,1,2,2,2,2,4,3,2,2,2,3,1,2,2,1,1,2,3,3,3,3,9,5,5,6,1,2,1,2,2,1,3,2,2,2,2,2,2,3,2,3,6,2,2,3,1,57804,8,6,5,5,5,5,5,5,5,10,8,1,1,2,2,2,2,0,1,3,2,2,4,1,1,6,2,1,1,1,3,2,1,2,1,6,1,1,1,1,3,3,2,1,1,1,4,2,2,1937,82,1,5,1,5,1,2,1,0,0,2,1,3,2,4,0,1,53,6,0,2
200,1,2,1,2,2,3,2,1,8,5,2,2,2,5,3,3,1,5,5,5,4,5,1,2,2,3,3,2,4,4,4,4,4,3,1,1,4,2,3,3,2,2,2,2,3,4,1,8,8,2,4,2,2,2,2,2,2,3,3,2,2,2,2,1,2,7,3,3,3,1,57801,10,1,10,8,1,10,10,9,7,10,7,1,1,1,2,2,4,2,1,4,4,0,6,7,2,1,1,2,1,1,10,1,10,10,5,1,3,2,1,2,4,2,2,2,1,1,4,4,4,1965,53,1,1,1,1,3,6,3,6,3,1,1,3,2,1,1,1,22,5,13,6
200,1,1,1,2,1,3,2,3,8,9,1,1,2,5,2,4,1,3,4,4,3,4,1,2,2,2,2,2,2,4,4,4,4,3,1,4,2,3,3,2,2,1,2,2,3,5,6,7,6,4,2,1,3,2,1,1,1,2,2,2,2,3,2,1,1,9,4,3,4,1,57801,6,2,9,8,2,8,10,6,4,10,9,1,1,1,3,3,3,2,2,3,3,2,4,7,1,5,3,2,2,3,10,2,8,8,6,4,5,1,2,1,5,1,1,1,1,1,3,3,3,1998,20,1,6,2,0,4,3,2,0,0,7,3,7,3,2,0,2,52,1,0,7
200,1,1,1,3,1,4,2,3,6,6,1,1,2,5,2,5,1,5,5,2,2,4,1,2,1,2,1,1,3,4,4,2,4,1,2,1,2,2,1,3,2,1,1,1,3,3,7,10,8,5,3,2,4,2,1,3,2,0,0,3,3,0,1,1,2,0,4,3,4,1,57810,6,1,10,10,1,10,10,8,3,10,7,2,1,1,4,2,2,2,1,4,4,0,8,6,2,1,1,1,1,1,10,1,10,10,10,7,10,1,1,1,3,2,2,1,1,1,2,4,4,1984,34,1,6,1,1,2,3,2,0,0,7,3,2,1,1,0,2,42,2,0,2
200,1,2,1,2,2,2,2,2,9,7,1,1,2,5,2,5,2,5,5,5,3,5,1,2,2,2,2,2,2,4,4,4,4,1,2,1,4,2,3,3,2,1,2,2,3,5,8,8,5,1,4,3,3,2,2,2,3,2,2,2,3,3,3,2,1,6,4,4,4,1,57804,7,3,10,10,1,10,10,3,4,10,10,1,1,1,4,3,1,2,1,4,4,2,7,4,1,6,1,1,1,1,0,10,10,10,5,1,10,1,1,1,5,2,2,3,3,1,1,1,3,1966,52,1,3,1,1,2,3,2,0,0,2,1,3,2,2,0,2,24,6,0,4
128,1,1,1,2,1,1,1,3,8,6,2,3,0,0,0,0,4,0,2,0,2,4,0,0,0,0,0,0,1,3,2,3,2,1,2,4,2,3,0,1,4,2,1,3,3,0,9,8,9,3,0,1,4,4,4,2,2,3,3,2,3,2,2,2,3,9,2,2,2,1,0,9,5,10,5,9,10,10,8,10,10,9,3,3,3,0,3,0,2,0,4,3,6,0,1,1,10,9,1,1,1,2,1,1,5,1,1,1,5,5,0,4,4,2,0,0,3,1,2,2,1982,36,2,1,1,2,4,6,3,6,3,6,3,6,3,5,1,2,21,2,31,0
200,1,2,2,2,1,3,1,2,8,8,2,1,2,5,2,5,2,2,3,1,1,1,1,2,1,1,1,1,2,4,4,4,4,2,3,1,4,2,1,3,1,1,2,1,3,5,8,5,3,1,3,2,2,3,2,1,2,2,2,2,2,2,2,1,1,10,4,4,4,1,57801,7,1,10,9,1,10,10,1,1,10,10,1,1,1,4,4,4,1,2,4,4,2,8,6,2,1,1,7,1,1,10,5,10,10,5,0,5,1,1,1,5,1,1,2,1,1,1,4,2,1953,65,1,1,1,4,2,5,3,3,2,1,1,1,1,1,1,2,24,7,24,9
200,1,1,2,4,2,3,2,3,9,8,1,1,2,5,2,5,1,5,2,4,5,4,1,2,2,2,2,2,4,2,4,4,3,1,3,2,1,2,1,1,4,1,3,3,2,3,6,5,5,5,3,2,4,2,2,3,2,3,3,3,3,2,2,2,3,7,4,3,4,1,0,5,1,10,7,4,7,10,4,7,10,8,4,4,1,3,2,3,3,3,3,4,1,4,6,1,5,3,5,2,5,10,3,6,8,5,6,6,5,1,0,4,1,1,2,3,2,4,4,4,1994,24,2,6,1,0,1,5,3,0,0,7,3,7,3,8,0,3,26,1,0,1
200,1,1,1,1,1,3,2,1,8,7,1,1,2,5,2,4,1,4,4,3,2,2,1,1,1,2,1,1,3,4,4,4,4,1,3,4,2,3,2,3,1,1,1,1,1,2,4,5,6,4,2,2,2,1,2,1,2,3,3,3,2,2,2,1,2,7,1,1,4,1,57812,4,2,10,7,1,8,10,9,2,10,8,1,1,1,4,4,4,2,1,4,4,0,8,7,2,1,2,2,2,1,10,4,10,8,4,4,8,1,1,2,4,2,2,1,1,1,2,4,4,1972,46,1,1,1,2,3,3,2,6,3,2,1,2,1,1,1,2,74,3,24,9
200,1,1,1,1,2,1,1,2,9,9,2,1,2,5,2,4,4,5,5,1,2,2,1,2,1,2,2,2,3,4,4,2,4,2,1,1,4,2,3,3,1,1,2,2,3,10,10,1,1,1,3,2,4,3,3,3,3,3,3,3,3,2,3,3,3,5,2,2,3,1,57803,8,1,9,1,8,7,10,1,1,10,8,1,1,1,3,4,4,4,2,4,4,2,4,5,1,7,1,1,1,1,7,1,10,8,9,1,4,1,6,2,2,2,2,1,1,1,1,2,3,1949,69,1,1,1,2,2,3,2,6,3,1,1,1,1,4,4,0,52,8,22,10
200,1,1,1,2,1,4,1,3,9,9,1,1,2,5,1,2,5,5,5,3,2,2,1,2,2,3,2,2,4,4,4,3,4,1,2,1,4,2,3,3,3,1,3,2,1,8,10,1,4,3,4,2,3,2,2,3,4,3,3,3,4,3,3,2,3,7,4,3,4,1,57804,10,1,10,10,1,9,10,7,2,10,9,1,1,1,4,3,4,2,1,4,4,0,8,7,2,1,1,3,2,1,10,8,8,10,9,2,5,1,2,2,3,2,3,1,1,1,2,4,4,1956,62,1,1,1,3,2,3,2,2,1,2,1,0,1,1,4,2,31,7,91,6
200,1,1,1,3,2,3,1,1,8,10,2,2,2,5,1,2,1,3,3,4,2,5,1,3,2,4,1,1,2,4,4,4,4,1,2,4,2,3,1,2,2,2,2,3,3,8,7,5,2,3,4,1,3,2,3,3,3,4,4,3,2,3,4,1,1,6,4,4,4,1,57804,8,1,10,7,5,10,10,3,1,10,5,3,1,1,4,2,4,2,1,4,4,0,8,7,2,1,5,7,1,1,10,4,10,10,5,7,10,1,1,1,4,2,2,1,1,2,2,4,4,1998,20,1,6,4,0,4,3,2,0,0,7,3,7,3,6,0,2,52,1,0,10
200,1,1,2,2,1,1,2,1,9,7,0,2,2,5,1,1,5,3,2,3,1,2,1,1,1,2,3,2,3,4,4,4,3,2,3,4,1,2,2,1,1,1,3,1,3,7,6,2,5,5,2,2,3,3,1,2,2,3,3,2,4,2,4,1,2,7,4,3,4,1,57804,10,3,10,5,1,9,10,7,7,10,10,1,1,1,4,2,4,2,1,4,4,2,2,1,1,10,1,1,1,1,8,1,6,7,1,6,1,1,1,1,3,2,3,2,1,1,2,4,4,1940,78,1,5,1,0,1,5,3,0,0,2,1,2,1,4,0,1,23,2,0,3
200,1,2,1,2,1,3,3,2,8,7,1,1,2,4,3,3,2,5,5,2,2,2,1,2,2,3,3,3,3,2,4,3,2,3,1,1,4,2,3,0,2,2,0,2,3,6,8,2,3,3,3,2,2,0,2,2,2,2,2,2,3,0,2,2,2,7,4,2,3,2,57802,5,1,9,5,0,6,10,6,1,10,9,2,4,2,4,2,4,2,2,0,4,0,8,6,2,5,3,2,2,2,9,1,5,9,5,1,2,1,2,0,4,3,1,2,3,2,3,2,0,1982,36,2,1,1,1,3,5,3,8,3,1,1,1,1,2,1,1,53,8,21,5
200,2,1,2,3,1,4,2,2,8,9,1,1,2,5,2,5,1,5,4,4,3,4,1,2,2,2,2,2,3,4,4,4,4,1,3,4,1,2,3,2,3,2,3,1,3,5,6,5,6,4,4,3,2,2,1,1,2,3,3,2,3,3,2,1,1,8,4,2,4,1,0,7,1,10,8,1,8,10,5,3,10,9,1,1,1,4,3,4,2,1,4,4,0,8,7,2,1,1,2,1,1,10,3,10,10,6,0,9,1,1,2,3,2,2,2,2,1,3,4,4,1975,43,1,6,1,0,1,7,3,0,0,6,3,7,3,1,0,2,22,1,0,0
200,1,1,1,2,2,3,1,1,9,8,1,1,2,5,2,5,1,5,3,3,2,5,1,1,2,2,2,2,3,4,4,4,4,3,4,4,2,3,1,3,1,1,1,2,2,6,6,4,5,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,9,4,4,4,1,57804,8,1,10,8,1,10,10,8,1,10,9,1,1,1,4,4,4,1,1,3,4,0,8,7,3,1,2,4,2,2,10,6,10,10,6,5,9,1,1,1,3,2,2,1,2,1,4,4,4,1974,44,1,1,1,3,5,7,3,6,3,6,3,7,3,1,1,1,25,1,23,7
200,1,2,1,2,1,3,3,5,5,5,1,2,2,5,1,1,4,5,5,1,1,1,1,2,1,2,2,2,2,4,4,4,4,2,1,3,1,1,1,3,2,2,3,2,3,2,5,5,5,4,3,4,4,1,4,1,1,2,2,2,3,0,4,1,2,7,4,3,4,1,57801,10,1,10,7,1,10,10,10,5,10,7,1,1,4,4,2,4,2,1,4,4,9,8,7,3,1,1,1,1,1,10,1,10,10,10,1,10,10,10,1,2,3,1,2,2,1,1,4,4,1943,75,1,1,1,1,2,7,3,7,3,6,3,2,1,4,4,1,20,1,21,7
200,1,2,2,2,1,2,2,2,9,9,1,1,3,3,3,3,2,3,3,3,1,3,1,2,2,2,2,2,3,4,4,3,4,1,2,1,4,2,3,3,2,1,3,3,3,5,5,5,5,4,2,2,3,3,2,3,2,2,2,3,3,3,3,3,2,5,4,3,4,1,57814,7,5,8,8,8,7,10,7,7,10,7,1,1,1,4,3,2,3,1,2,4,2,4,6,1,7,2,2,2,2,5,1,5,5,5,5,5,2,1,2,3,3,2,2,2,2,2,4,2,1976,42,1,6,1,2,4,3,2,3,2,3,2,6,3,1,5,2,10,1,52,2
200,1,2,2,1,4,2,3,5,3,4,1,1,2,5,2,5,1,5,5,5,1,3,1,2,1,1,1,1,3,4,4,4,4,4,3,4,2,3,3,3,1,1,2,1,2,1,2,5,10,1,2,3,2,2,3,2,3,2,2,2,2,3,3,2,2,7,4,4,4,1,57801,9,1,10,10,1,10,10,10,5,10,9,2,1,1,4,3,4,3,1,4,4,1,8,1,1,5,1,1,1,1,10,10,5,10,1,5,10,1,1,2,4,1,1,1,2,1,3,4,4,1943,75,1,4,1,3,1,3,2,0,0,1,1,0,0,4,0,2,42,8,0,1
200,1,1,1,2,1,3,2,2,7,7,1,1,2,5,2,5,1,5,5,3,1,3,1,1,1,2,2,2,4,4,4,4,4,3,1,1,2,2,1,3,2,1,2,1,3,6,4,5,5,4,2,2,3,1,2,2,2,3,3,2,3,3,2,2,2,8,4,2,4,1,57804,9,1,10,6,1,10,10,9,1,10,8,1,1,1,4,4,4,2,1,4,4,2,6,6,2,5,0,3,1,3,10,3,10,10,5,3,10,1,1,1,3,2,2,1,2,1,4,4,4,1971,47,1,1,1,2,4,6,3,7,3,6,3,7,3,1,1,2,24,2,26,8
200,1,1,1,2,1,2,2,2,6,6,2,1,2,5,2,5,2,5,5,5,2,3,1,2,1,2,2,2,4,4,4,4,4,3,1,1,2,2,3,3,2,1,3,1,3,5,5,5,5,4,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,9,4,3,4,1,57804,6,1,9,7,3,8,10,3,1,10,9,1,1,1,4,4,4,2,1,4,4,0,7,7,2,1,2,6,2,1,10,1,8,9,8,4,4,1,1,2,4,2,3,1,1,1,2,4,4,1945,73,1,3,1,1,1,3,2,0,0,1,1,1,1,4,0,1,32,7,0,2
200,1,1,1,3,2,4,2,3,5,7,2,1,2,5,1,1,4,5,5,5,2,5,2,2,2,2,2,2,4,3,4,2,4,1,3,4,1,2,1,3,2,2,2,2,3,8,8,5,5,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,1,3,1,57803,5,1,10,10,1,10,10,5,5,10,7,3,1,1,4,2,4,3,1,4,4,0,8,7,2,1,1,7,1,1,10,5,10,10,10,10,10,1,10,2,3,2,2,3,3,2,2,4,4,1977,41,1,6,1,1,2,2,1,0,0,2,1,7,3,8,0,1,34,1,0,1
200,1,1,1,1,1,4,1,1,10,10,2,1,2,5,2,5,4,4,4,5,1,5,3,3,3,2,3,3,4,4,4,4,2,2,1,1,4,2,2,2,1,3,3,3,3,1,1,10,8,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,1,1,1,57810,10,1,10,10,10,10,10,10,10,10,10,1,1,1,3,1,2,2,2,4,4,0,8,7,2,1,1,5,1,1,10,10,10,10,10,1,10,1,1,3,3,1,4,3,3,1,4,4,4,1999,19,1,6,2,0,3,2,1,0,0,6,3,2,1,6,0,1,81,1,0,8
200,1,1,1,2,1,2,1,2,8,7,1,1,2,5,2,5,1,2,2,4,2,1,1,1,1,2,1,1,2,4,4,4,4,3,1,2,1,2,3,1,2,1,1,1,2,4,4,6,6,5,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,8,4,4,4,1,57801,8,1,10,8,3,10,10,6,5,10,10,1,1,1,4,3,3,2,1,3,4,2,7,6,2,2,1,1,1,1,10,1,10,10,10,1,1,1,1,1,5,2,1,1,2,2,1,4,3,1980,38,1,1,1,3,5,6,3,6,3,6,3,6,3,1,1,1,13,3,13,7
200,1,1,2,3,1,4,1,1,10,8,1,1,2,5,1,2,3,5,4,1,1,3,1,2,1,3,3,3,1,4,4,4,3,4,2,1,4,2,1,1,4,2,2,1,3,3,3,6,5,2,3,2,3,2,1,3,2,2,2,3,3,2,3,2,1,7,3,3,3,1,57811,8,1,10,9,1,10,10,5,3,10,10,1,1,1,3,3,3,2,1,4,4,2,8,7,2,1,1,4,1,1,10,1,7,5,5,3,8,2,7,1,3,2,2,1,1,1,2,2,2,1992,26,1,6,1,0,1,6,3,0,0,7,3,3,2,1,0,2,31,9,0,5
200,2,2,2,2,2,3,2,2,6,7,1,1,2,5,2,5,4,4,5,2,1,3,1,2,2,3,2,3,4,4,4,4,4,3,1,2,1,2,3,1,2,1,2,2,3,3,2,3,5,3,2,1,2,2,1,1,2,3,3,4,3,3,2,1,2,9,3,3,4,1,57801,8,2,10,8,2,8,9,6,2,10,9,1,1,1,4,3,4,1,1,3,4,2,7,0,1,6,2,2,2,1,9,1,9,5,7,7,5,1,1,1,3,2,2,1,1,1,1,4,4,1957,61,1,1,1,2,2,3,2,3,2,2,1,2,1,1,1,2,33,10,24,5
200,1,1,1,2,4,4,2,2,6,5,1,1,2,5,2,5,1,5,5,1,1,5,1,0,2,4,1,1,4,4,4,4,4,3,1,4,1,2,3,3,1,1,3,1,3,10,10,5,5,5,3,3,2,0,2,2,2,2,2,3,2,4,2,2,2,6,4,3,4,1,57810,7,1,10,7,1,10,10,6,2,10,8,1,1,1,4,4,4,1,1,4,4,0,8,7,3,1,3,7,2,10,10,5,10,10,1,10,10,1,1,2,3,1,2,3,2,2,4,4,4,1987,31,1,6,1,0,1,3,2,0,0,6,3,6,3,6,0,0,0,2,0,1
200,1,1,2,3,2,3,2,1,8,7,1,1,2,5,1,2,1,5,5,3,2,2,1,1,1,2,2,2,3,4,4,4,4,3,1,1,4,2,3,2,2,1,3,2,3,7,5,5,7,5,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,9,4,3,4,1,57804,10,1,10,8,1,10,9,8,8,10,10,1,1,1,4,3,4,2,2,4,4,2,4,6,2,3,5,3,1,1,10,2,10,10,7,3,10,1,1,1,4,2,1,1,1,1,2,4,2,1997,21,1,6,1,0,1,3,2,0,0,2,1,6,3,6,0,1,53,1,0,1
200,1,2,1,2,1,3,2,1,9,7,1,1,2,5,3,3,1,5,5,2,1,1,1,2,2,2,2,2,4,2,3,3,3,1,4,1,4,2,3,3,3,1,3,2,3,5,8,5,1,5,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,5,0,2,4,1,0,5,5,5,5,5,5,5,5,5,10,7,1,1,1,4,3,4,2,2,4,4,2,7,5,2,3,2,2,2,1,10,2,10,10,8,7,2,1,1,2,3,1,1,1,1,1,2,3,3,1964,54,1,1,1,2,2,2,1,3,2,2,1,2,1,1,1,1,53,8,71,4
200,1,1,1,2,2,4,2,2,9,10,1,1,2,5,2,5,1,4,2,2,1,2,1,2,1,2,2,2,2,4,4,3,4,3,1,1,4,2,1,1,2,1,3,3,3,7,7,5,5,5,3,2,3,0,2,2,2,2,2,2,2,2,2,2,2,7,4,2,4,1,57813,8,1,10,9,1,10,6,7,8,10,8,1,1,1,4,3,4,2,1,4,4,2,8,7,0,1,1,1,1,1,10,1,10,7,8,3,5,1,2,1,3,1,2,1,1,1,2,3,3,1952,66,1,3,1,2,1,3,2,0,0,2,1,0,0,1,0,2,42,3,0,3
200,1,1,1,2,1,3,1,1,10,10,1,1,2,5,2,5,1,5,3,3,1,2,1,1,1,2,2,2,3,4,4,4,4,3,1,3,1,1,2,1,3,1,2,2,3,6,8,5,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,10,3,2,4,1,57804,10,4,10,10,5,8,10,7,3,10,10,1,1,1,4,2,4,2,2,4,4,2,6,7,2,1,1,2,1,1,10,7,10,10,6,4,7,1,9,1,4,2,1,1,1,1,3,4,4,1978,40,1,2,1,2,4,7,3,2,1,6,3,2,1,1,1,1,23,1,43,10
200,2,2,2,3,1,4,2,2,8,10,1,2,3,3,1,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,0,3,2,1,3,4,3,2,3,1,3,1,1,1,3,0,6,8,4,3,3,2,3,2,2,3,2,3,3,3,3,3,2,3,2,7,3,0,4,2,57810,10,1,10,10,1,10,10,10,1,7,7,2,1,2,3,3,2,2,2,3,4,0,8,7,2,1,8,5,1,1,10,7,10,10,10,5,5,1,5,2,3,2,2,2,2,2,2,3,3,1996,22,1,6,2,0,3,3,2,0,0,3,2,3,2,1,0,2,43,8,0,9
128,2,1,1,2,2,2,1,2,10,10,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,4,3,3,1,2,2,1,3,1,3,2,4,3,3,1,2,1,3,3,3,8,7,5,0,6,3,3,2,1,1,2,2,2,2,2,3,3,2,2,3,10,3,2,2,1,57804,8,8,8,7,8,8,9,9,7,10,9,4,4,0,3,3,3,3,0,2,3,7,8,2,2,10,7,1,1,2,8,1,1,5,10,1,1,2,1,0,4,3,3,1,1,3,1,3,1,1985,33,2,1,1,1,3,6,3,3,2,2,1,0,1,6,1,0,51,9,14,3
200,1,1,1,3,1,2,3,3,1,2,2,1,2,5,1,1,2,4,2,2,1,2,2,4,1,3,3,3,1,2,4,1,2,2,3,4,2,3,1,3,3,1,2,2,3,5,2,2,8,8,1,1,2,2,2,2,2,0,0,3,0,2,2,2,2,7,3,3,4,2,57812,5,2,0,0,0,0,8,0,0,9,7,1,1,2,2,1,2,2,2,3,4,2,4,6,2,1,1,1,1,1,5,3,3,6,8,5,3,1,2,1,4,3,3,2,1,1,4,4,4,1964,54,1,6,1,2,1,2,1,0,0,2,1,2,1,8,0,2,94,8,0,1
200,1,2,1,3,1,2,1,2,10,7,1,1,2,5,2,5,3,5,5,1,1,2,1,4,1,2,2,2,2,4,4,2,4,3,1,1,2,2,2,3,2,1,3,1,3,4,8,6,7,4,2,3,3,2,2,3,3,4,4,3,4,3,3,2,2,6,4,4,4,1,0,5,1,10,8,3,8,10,4,6,10,8,1,1,1,4,3,3,1,1,4,4,2,7,1,1,5,1,1,1,1,10,4,10,10,10,6,7,1,3,1,2,2,2,2,2,1,2,3,4,1943,75,1,1,1,2,2,3,2,6,3,0,1,2,1,4,4,2,33,7,23,7
200,2,1,2,1,1,4,2,2,6,5,1,1,2,5,2,5,1,5,5,4,2,2,1,2,1,2,2,2,2,4,4,4,4,3,1,4,2,3,2,2,1,2,2,3,3,2,2,9,8,6,4,1,2,2,2,2,3,3,3,2,3,4,2,1,3,9,4,4,4,1,57810,8,1,10,8,1,10,10,8,4,10,9,1,4,1,4,3,4,2,1,4,4,0,8,7,3,1,4,5,1,1,10,5,10,10,10,10,9,1,1,3,5,4,4,1,2,2,4,4,4,1999,19,1,6,2,0,3,2,1,0,0,3,2,3,2,6,0,0,0,4,0,6
128,1,2,2,3,1,3,3,1,6,8,1,2,2,5,2,4,3,2,2,3,2,2,1,1,1,2,2,2,2,3,4,3,4,4,1,1,2,2,2,1,3,1,2,2,3,7,7,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,2,3,7,4,3,4,1,57801,7,5,9,7,3,8,9,6,7,8,8,3,4,1,2,2,3,2,1,3,4,1,8,6,2,3,6,5,7,3,8,5,9,8,10,2,5,2,8,0,4,3,3,1,3,3,2,4,4,1976,42,2,1,1,2,1,0,0,6,3,2,1,6,3,1,1,2,31,1,22,3
200,1,1,1,2,1,2,1,2,9,8,1,1,2,5,2,4,1,2,4,3,1,4,1,1,1,2,1,2,1,4,3,4,4,3,2,1,3,1,3,1,2,1,1,1,3,8,8,6,3,4,2,1,3,2,2,2,2,2,2,2,3,3,2,2,2,8,4,3,4,1,57804,8,3,9,7,2,10,10,4,5,10,9,1,1,1,4,3,3,2,2,3,4,2,4,6,1,6,1,1,1,1,10,2,8,8,3,1,2,1,1,1,4,1,2,1,1,1,2,4,4,1949,69,1,1,1,3,2,3,2,2,1,2,1,3,2,4,4,2,12,6,33,4
200,1,1,1,2,1,4,2,1,9,5,1,2,2,5,2,5,1,5,2,2,1,4,1,3,1,2,2,2,3,4,4,4,4,1,4,4,1,2,1,2,2,2,3,3,3,7,7,3,4,2,2,1,3,2,1,2,2,2,2,2,3,2,2,2,3,8,4,1,4,1,57804,3,1,10,5,1,9,10,5,4,10,10,1,1,1,4,4,4,2,1,4,4,0,8,7,3,1,2,4,3,1,10,1,10,10,9,10,10,1,5,1,4,1,3,1,3,1,3,4,3,1988,30,1,6,1,0,2,6,3,7,3,6,3,7,3,1,7,2,21,1,32,5
200,2,2,1,1,1,3,1,1,10,8,1,1,3,3,1,2,2,5,3,1,1,2,1,1,1,2,1,1,2,4,4,4,4,2,4,4,1,2,3,3,1,1,2,1,1,6,5,5,4,3,2,3,3,2,2,1,2,2,2,2,3,2,3,2,3,8,4,3,4,1,57811,8,1,10,7,1,9,10,8,4,10,8,1,1,1,4,3,4,2,1,4,4,2,4,7,1,7,1,2,6,1,10,2,8,8,3,1,6,1,2,1,3,1,2,1,1,1,4,3,4,1951,67,1,6,1,0,1,5,3,0,0,2,1,2,1,4,0,0,61,10,0,2
